# Sample supplier spend file for the UNSPSC Spend Categorizer.
#
# Deliberately mixes:
#   - independent companies (Dell, Grainger, Microsoft, FedEx, Pfizer)
#   - a parent and its subsidiaries, declared explicitly via the `parent` column
#     (Dell Technologies -> EMC Corporation, VMware; Alphabet -> Google Cloud;
#      Siemens AG -> Siemens Healthineers, Mentor Graphics)
#   - messy formatting that the importer normalises:
#       * "ACME  CO., LTD" and "Acme Co" must collapse into one supplier
#       * "$1,250,000.00" style amounts and US date formats
#       * rows with only a name (no amount)
#
# Columns: name,amount,date,domain,industry,naics,parent
name,amount,date,domain,industry,naics,parent
Dell Technologies,1250000.00,2024-03-01,dell.com,Computer manufacturing,334111,
EMC Corporation,184500.50,2024-03-04,emc.com,Computer storage device manufacturing,334112,Dell Technologies
VMware,96500.00,2024-03-06,vmware.com,Software publishers,511210,Dell Technologies
Grainger,$52300.00,2024-03-05,grainger.com,Industrial supplies merchant wholesalers,423840,
Microsoft,875000.00,2024-03-07,microsoft.com,Software publishers,511210,
LinkedIn,42000.00,2024-03-08,linkedin.com,Web search portals and social networks,519130,Microsoft
Microsoft Azure,230000.00,2024-03-09,azure.microsoft.com,Cloud computing services,518210,Microsoft
FedEx,158000.00,2024-03-10,fedex.com,Courier and express delivery services,492110,
FedEx Freight,61000.00,2024-03-11,fedex.com,General freight trucking local,484121,FedEx
Pfizer,410000.00,2024-03-12,pfizer.com,Pharmaceutical preparation manufacturing,325412,
Alphabet,0.00,2024-03-13,abc.xyz,Web search portals,519130,
Google Cloud,312000.00,2024-03-14,cloud.google.com,Cloud computing services,518210,Alphabet
Siemens AG,540000.00,2024-03-15,siemens.com,Industrial machinery manufacturing,333249,
Siemens Healthineers,178000.00,2024-03-16,siemens-healthineers.com,Electromedical apparatus manufacturing,334510,Siemens AG
Mentor Graphics,39500.00,2024-03-17,mentor.com,Software publishers,511210,Siemens AG
Bechtel,289000.00,03/18/2024,bechtel.com,Engineering services,541330,
ManpowerGroup,74500.00,2024-03-19,manpowergroup.com,Temporary help services,561320,
Salesforce,266000.00,2024-03-20,salesforce.com,Software publishers,511210,
Slack Technologies,31000.00,2024-03-21,slack.com,Software publishers,511210,Salesforce
Cisco Systems,324000.00,2024-03-22,cisco.com,Communications equipment manufacturing,334220,
Splunk,58000.00,2024-03-23,splunk.com,Software publishers,511210,Cisco Systems
"ACME  CO., LTD","$1,250.00",2024-03-24,acme.com,Fastener manufacturing,332722,
Acme Co,8750.00,2024-03-25,acme.com,Fastener manufacturing,332722,
W.W. Grainger Canada,15000.00,2024-03-26,grainger.ca,Industrial supplies merchant wholesalers,423840,Grainger
Aramark,92500.00,2024-03-27,aramark.com,Food service contractors,722310,
Sysco,143000.00,2024-03-28,sysco.com,Packaged frozen food merchant wholesalers,424420,
Unilever,210000.00,2024-03-29,unilever.com,Soap and cleaning compound manufacturing,325611,
Unilever Food Solutions,47000.00,2024-03-30,unileverfoodsolutions.com,Packaged frozen food merchant wholesalers,424420,Unilever
3M,158000.00,2024-03-31,3m.com,Adhesive manufacturing,325520,
SAP SE,392000.00,2024-04-01,sap.com,Software publishers,511210,
Oracle,275000.00,2024-04-02,oracle.com,Software publishers,511210,
Cintas,38500.00,2024-04-03,cintas.com,Industrial launderers,812332,
Pitney Bowes,21500.00,2024-04-04,pitneybowes.com,Office machinery manufacturing,333318,
Honeywell,196000.00,2024-04-05,honeywell.com,Industrial process variable instruments,334513,
Honeywell Building Solutions,73000.00,2024-04-06,buildings.honeywell.com,Plumbing and HVAC contractor services,238220,Honeywell
Johnson Controls,142000.00,2024-04-07,johnsoncontrols.com,Plumbing and HVAC contractor services,238220,
CBRE Group,88000.00,2024-04-08,cbre.com,Offices of real estate agents and brokers,531210,
Kelly Services,54000.00,2024-04-09,kellyservices.com,Temporary help services,561320,
